[4/20/23 10:58PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:59PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:59PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:59PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:59PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:00PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:00PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:00PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:00PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:00PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:00PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:01PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:01PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:01PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:01PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:02PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:02PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:02PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:02PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:22PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:22PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:22PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:24PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:24PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:24PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:25PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:25PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:25PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:25PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:25PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:25PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:26PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:26PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:26PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:26PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:26PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:26PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:27PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:27PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:27PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:28PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:28PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:28PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:28PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:29PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:29PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:30PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:31PM] Player picked up item: Coin, id: 995, amount: 700, owner: Gor3whor3	
[4/20/23 11:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:34PM] Player picked up item: Coin, id: 995, amount: 1129339, owner: Gor3whor3	
[4/20/23 11:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Gor3whor3	
[4/20/23 11:49PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:49PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:49PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:49PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:49PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:50PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 11:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 11:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
